QuestionID,PassageID,QuestionText,Answer,Solution,PassageText
RCQ1,RCP1,"According to the passage, theory B states that which of the following is a factor that enables a schooling fish to escape predators?
(A) The tendency of fish to form compact groups
(B) The movement of other fish within the school
(C) The inability of predators to detect schools
(D) The ability of fish to hide behind one another in a school
(E) The great speed with which a school can disperse",B,"Supporting idea

This question depends on understanding what the passage states about theory B, the “confusion effect.” One element of theory B is that predators may experience sensory confusion created by large numbers of moving fish in a school.

A The compactness of groups of schooling fish is an element of theory A, not theory B.
B Correct. It is the movement of schooling fish around a predator that creates sensory confusion in the predator; this movement may distract the predator and help protect individual fish in the school.
C According to the passage’s description of theory A, predators are actually slightly more likely to detect schools than they are to detect individual fish.
D Theory B does not involve fish hiding behind one another but rather moving around the predator.
E The passage does not discuss the speed of dispersal of schools of fish.

The correct answer is B.","Biologists have advanced two theories to explain
 why schooling of fish occurs in so many fish species.
 Because schooling is particularly widespread among
 species of small fish, both theories assume that
 schooling offers the advantage of some protection
 from predators.
 Proponents of theory A dispute the assumption that
 a school of thousands of fish is highly visible.
 Experiments have shown that any fish can be seen,
 even in very clear water, only within a sphere of 200
 meters in diameter. When fish are in a compact group,
 the spheres of visibility overlap. Thus the chance of a
 predator finding the school is only slightly greater
 than the chance of the predator finding a single fish
 swimming alone. Schooling is advantageous to the
 individual fish because a predator’s chance of finding
 any particular fish swimming in the school is much
 smaller than its chance of finding at least one of the
 same group of fish if the fish were dispersed
 throughout an area.
 However, critics of theory A point out that some
 fish form schools even in areas where predators are
 abundant and thus little possibility of escaping
 detection exists. They argue that the school continues
 to be of value to its members even after detection.
 They advocate theory B, the “confusion effect,” which
 can be explained in two different ways.
 Sometimes, proponents argue, predators simply
 cannot decide which fish to attack. This indecision
 supposedly results from a predator’s preference for
 striking prey that is distinct from the rest of the
 school in appearance. In many schools the fish are
 almost identical in appearance, making it difficult for a
 predator to select one. The second explanation for
 the “confusion effect” has to do with the sensory
 confusion caused by a large number of prey moving
 around the predator. Even if the predator
 makes the decision to attack a particular fish,
 the movement of other prey in the school can
 be distracting. The predator’s difficulty can be
 compared to that of a tennis player trying to
 hit a tennis ball when two are approaching
 simultaneously."
RCQ2,RCP1,"According to the passage, both theory A and theory B have been developed to explain how
(A) fish hide from predators by forming schools
(B) forming schools functions to protect fish from predators
(C) schooling among fish differs from other protective behaviors
(D) small fish are able to make rapid decisions
(E) small fish are able to survive in an environment densely populated by large predators",B,"Supporting idea

The passage states in its first paragraph that two theories were developed to explain why schooling occurs in so many fish species and that they both assume that schooling helps protect fish from predators.

A While theory A involves an explanation of how schooling makes an individual fish less likely to be found by predators, theory B explains how schooling protects fish even when they are detected by predators.
B Correct. Both theory A and theory B begin with the assumption that schooling provides protection from predators, and each theory offers a different explanation for how that protection occurs.
C The passage does not discuss protective behaviors other than schooling.
D The decision-making ability of predators, not schooling fish, is discussed in the passage; schooling is presented as an instinctive behavior.
E The passage suggests that only theory B helps explain schooling behavior in environments where many predators, large or otherwise, are found, and that theory A explains schooling in areas where predators are not as abundant.

The correct answer is B.","Biologists have advanced two theories to explain
 why schooling of fish occurs in so many fish species.
 Because schooling is particularly widespread among
 species of small fish, both theories assume that
 schooling offers the advantage of some protection
 from predators.
 Proponents of theory A dispute the assumption that
 a school of thousands of fish is highly visible.
 Experiments have shown that any fish can be seen,
 even in very clear water, only within a sphere of 200
 meters in diameter. When fish are in a compact group,
 the spheres of visibility overlap. Thus the chance of a
 predator finding the school is only slightly greater
 than the chance of the predator finding a single fish
 swimming alone. Schooling is advantageous to the
 individual fish because a predator’s chance of finding
 any particular fish swimming in the school is much
 smaller than its chance of finding at least one of the
 same group of fish if the fish were dispersed
 throughout an area.
 However, critics of theory A point out that some
 fish form schools even in areas where predators are
 abundant and thus little possibility of escaping
 detection exists. They argue that the school continues
 to be of value to its members even after detection.
 They advocate theory B, the “confusion effect,” which
 can be explained in two different ways.
 Sometimes, proponents argue, predators simply
 cannot decide which fish to attack. This indecision
 supposedly results from a predator’s preference for
 striking prey that is distinct from the rest of the
 school in appearance. In many schools the fish are
 almost identical in appearance, making it difficult for a
 predator to select one. The second explanation for
 the “confusion effect” has to do with the sensory
 confusion caused by a large number of prey moving
 around the predator. Even if the predator
 makes the decision to attack a particular fish,
 the movement of other prey in the school can
 be distracting. The predator’s difficulty can be
 compared to that of a tennis player trying to
 hit a tennis ball when two are approaching
 simultaneously."
RCQ3,RCP1,"According to one explanation of the “confusion effect,” a fish that swims in a school will have greater advantages for survival if it
(A) tends to be visible for no more than 200 meters
(B) stays near either the front or the rear of a school
(C) is part of a small school rather than a large school
(D) is very similar in appearance to the other fish in the school
(E) is medium-sized",D,"Inference

The “confusion effect” is discussed in the third and fourth paragraphs. The first explanation of the “confusion effect” proposes that because predators prefer to select distinctive prey, they find it difficult to select one fish from among many that look the same.

A The 200-meter visibility of fish is part of the explanation for theory A, not theory B (the “confusion effect”).
B The location of an individual fish within a school is not discussed in the passage as being important to the “confusion effect.”
C The size of a school of fish is not discussed as an element of the “confusion effect.”
D Correct. Because predators, according to the “confusion effect,” prefer to select prey that is distinct from the rest of the school, a fish that is similar in appearance to the other fish in its school would most likely enjoy a survival advantage.
E The size of a fish relative to the other fish in its school would most likely contribute to its ability to survive: that is, if it resembled other fish in size, it would be safer, based on what the passage says about the “confusion effect.” Furthermore, the passage gives no reason to think that merely being medium-sized would confer any advantage (unless the other fish were medium-sized as well).

The correct answer is D.","Biologists have advanced two theories to explain
 why schooling of fish occurs in so many fish species.
 Because schooling is particularly widespread among
 species of small fish, both theories assume that
 schooling offers the advantage of some protection
 from predators.
 Proponents of theory A dispute the assumption that
 a school of thousands of fish is highly visible.
 Experiments have shown that any fish can be seen,
 even in very clear water, only within a sphere of 200
 meters in diameter. When fish are in a compact group,
 the spheres of visibility overlap. Thus the chance of a
 predator finding the school is only slightly greater
 than the chance of the predator finding a single fish
 swimming alone. Schooling is advantageous to the
 individual fish because a predator’s chance of finding
 any particular fish swimming in the school is much
 smaller than its chance of finding at least one of the
 same group of fish if the fish were dispersed
 throughout an area.
 However, critics of theory A point out that some
 fish form schools even in areas where predators are
 abundant and thus little possibility of escaping
 detection exists. They argue that the school continues
 to be of value to its members even after detection.
 They advocate theory B, the “confusion effect,” which
 can be explained in two different ways.
 Sometimes, proponents argue, predators simply
 cannot decide which fish to attack. This indecision
 supposedly results from a predator’s preference for
 striking prey that is distinct from the rest of the
 school in appearance. In many schools the fish are
 almost identical in appearance, making it difficult for a
 predator to select one. The second explanation for
 the “confusion effect” has to do with the sensory
 confusion caused by a large number of prey moving
 around the predator. Even if the predator
 makes the decision to attack a particular fish,
 the movement of other prey in the school can
 be distracting. The predator’s difficulty can be
 compared to that of a tennis player trying to
 hit a tennis ball when two are approaching
 simultaneously."
RCQ4,RCP1,"The author is primarily concerned with
(A) discussing different theories
(B) analyzing different techniques
(C) defending two hypotheses
(D) refuting established beliefs
(E) revealing new evidence",A,"Main idea

Determining the author’s primary concern depends on understanding the focus of the passage as a whole. The author presents two theories that purport to account for why fish, particularly small fish, tend to school and explains the arguments of proponents of each theory.

A Correct. The author discusses two theories—identified as theory A and theory B—that account for the tendency of fish to school.
B The author is not concerned with different techniques in the passage.
C The two theories of why fish school could be referred to as hypotheses, but the author is not primarily concerned with defending them; rather, the passage explains how each attempts to account for the phenomenon in question.
D The author presents, rather than refutes, beliefs about why fish tend to school.
E The author reveals no evidence, new or otherwise, in the passage. The passage is a general discussion of scientific opinions based on existing evidence.

The correct answer is A.","Biologists have advanced two theories to explain
 why schooling of fish occurs in so many fish species.
 Because schooling is particularly widespread among
 species of small fish, both theories assume that
 schooling offers the advantage of some protection
 from predators.
 Proponents of theory A dispute the assumption that
 a school of thousands of fish is highly visible.
 Experiments have shown that any fish can be seen,
 even in very clear water, only within a sphere of 200
 meters in diameter. When fish are in a compact group,
 the spheres of visibility overlap. Thus the chance of a
 predator finding the school is only slightly greater
 than the chance of the predator finding a single fish
 swimming alone. Schooling is advantageous to the
 individual fish because a predator’s chance of finding
 any particular fish swimming in the school is much
 smaller than its chance of finding at least one of the
 same group of fish if the fish were dispersed
 throughout an area.
 However, critics of theory A point out that some
 fish form schools even in areas where predators are
 abundant and thus little possibility of escaping
 detection exists. They argue that the school continues
 to be of value to its members even after detection.
 They advocate theory B, the “confusion effect,” which
 can be explained in two different ways.
 Sometimes, proponents argue, predators simply
 cannot decide which fish to attack. This indecision
 supposedly results from a predator’s preference for
 striking prey that is distinct from the rest of the
 school in appearance. In many schools the fish are
 almost identical in appearance, making it difficult for a
 predator to select one. The second explanation for
 the “confusion effect” has to do with the sensory
 confusion caused by a large number of prey moving
 around the predator. Even if the predator
 makes the decision to attack a particular fish,
 the movement of other prey in the school can
 be distracting. The predator’s difficulty can be
 compared to that of a tennis player trying to
 hit a tennis ball when two are approaching
 simultaneously."
RCQ5,RCP2,"The primary purpose of the passage is to
(A) explain why a particular business strategy has been less successful than was once anticipated
(B) propose an alternative to a particular business strategy that has inadvertently caused ecological damage
(C) present a concern about the possible consequences of pursuing a particular business strategy
(D) make a case for applying a particular business strategy on a larger scale than is currently practiced
(E) suggest several possible outcomes of companies’ failure to understand the economic impact of a particular business strategy",C,"Main idea

This question requires understanding the passage as a whole. The passage starts out defining a goal—ecoefficiency—that has become popular among companies throughout the world and that would be expected to bring overall ecological benefits. It then immediately introduces Senge and Carstedt, who have concerns about this idea. The rest of the passage is devoted to explaining their concerns, though the passage does not present a particular alternative strategy.

A The passage never discusses whether ecoefficiency is or is not successful but only the possible consequences of it.
B Lines 26–28 state that Senge and Carstedt believe that a new systemic approach must be found, but a particular alternative strategy is never offered.
C Correct. After defining ecoefficiency, the rest of the passage is devoted to describing the concerns Senge and Carstedt have about it as a goal for companies.
D The passage reports on particular concerns about the strategy and does not advocate expanding its adoption.
E The passage is concerned with environmental impact, not economic impact.

The correct answer is C.","Ecoefficiency (measures to minimize environmental
 impact through the reduction or elimination of waste
 from production processes) has become a goal for
 companies worldwide, with many realizing significant
 cost savings from such innovations. Peter Senge and
 Goran Carstedt see this development as laudable but
 suggest that simply adopting ecoefficiency
 innovations could actually worsen environmental
 stresses in the future. Such innovations reduce
 production waste but do not alter the number of
 products manufactured nor the waste generated
 from their use and discard; indeed, most companies
 invest in ecoefficiency improvements in order to
 increase profits and growth. Moreover, there is no
 guarantee that increased economic growth from
 ecoefficiency will come in similarly ecoefficient ways,
 since in today’s global markets, greater profits may
 be turned into investment capital that could easily be
 reinvested in old-style eco-inefficient industries. Even
 a vastly more ecoefficient industrial system could,
 were it to grow much larger, generate more total
 waste and destroy more habitat and species than
 would a smaller, less ecoefficient economy. Senge
 and Carstedt argue that to preserve the global
 environment and sustain economic growth,
 businesses must develop a new systemic approach
 that reduces total material use and total accumulated
 waste. Focusing exclusively on ecoefficiency, which
 offers a compelling business case according to
 established thinking, may distract companies from
 pursuing radically different products and business
 models."
RCQ6,RCP2,"The passage mentions which of the following as a possible consequence of companies’ realization of greater profits through ecoefficiency?
(A) The companies may be able to sell a greater number of products by lowering prices.
(B) The companies may be better able to attract investment capital in the global market.
(C) The profits may be reinvested to increase economic growth through ecoefficiency.
(D) The profits may be used as investment capital for industries that are not ecoefficient.
(E) The profits may encourage companies to make further innovations in reducing production waste.",D,"Supporting ideas

This question asks for identification of an example given in the passage of what could result from the greater profits that may come with ecoefficiency. Such profits are specifically mentioned only in lines 14 and 17. The increased growth and profits referred to in line 14 are associated with increased waste generated indirectly by ecoefficient companies. The growth and profits referred to in line 17 are associated with investment of this capital in industries that may not be ecoefficient.

A The prices of companies’ products are not mentioned in the passage.
B Greater investment in ecoefficient companies by outside sources is not mentioned in the passage.
C The passage mentions increased profits from ecoefficiency but not the use of these profits to then increase growth through further ecoefficiency.
D Correct. Lines 14–19 state explicitly that company profits from ecoefficiency may be invested in eco-inefficient industries.
E The passage does not discuss whether companies will use increased profits from ecoefficiency to become more ecoefficient.

The correct answer is D.","Ecoefficiency (measures to minimize environmental
 impact through the reduction or elimination of waste
 from production processes) has become a goal for
 companies worldwide, with many realizing significant
 cost savings from such innovations. Peter Senge and
 Goran Carstedt see this development as laudable but
 suggest that simply adopting ecoefficiency
 innovations could actually worsen environmental
 stresses in the future. Such innovations reduce
 production waste but do not alter the number of
 products manufactured nor the waste generated
 from their use and discard; indeed, most companies
 invest in ecoefficiency improvements in order to
 increase profits and growth. Moreover, there is no
 guarantee that increased economic growth from
 ecoefficiency will come in similarly ecoefficient ways,
 since in today’s global markets, greater profits may
 be turned into investment capital that could easily be
 reinvested in old-style eco-inefficient industries. Even
 a vastly more ecoefficient industrial system could,
 were it to grow much larger, generate more total
 waste and destroy more habitat and species than
 would a smaller, less ecoefficient economy. Senge
 and Carstedt argue that to preserve the global
 environment and sustain economic growth,
 businesses must develop a new systemic approach
 that reduces total material use and total accumulated
 waste. Focusing exclusively on ecoefficiency, which
 offers a compelling business case according to
 established thinking, may distract companies from
 pursuing radically different products and business
 models."
RCQ7,RCP2,"The passage implies that which of the following is a possible consequence of a company’s adoption of innovations that increase its ecoefficiency?
(A) Company profits resulting from such innovations may be reinvested in that company with no guarantee that the company will continue to make further improvements in ecoefficiency.
(B) Company growth fostered by cost savings from such innovations may allow that company to manufacture a greater number of products that will be used and discarded, thus worsening environmental stress.
(C) A company that fails to realize significant cost savings from such innovations may have little incentive to continue to minimize the environmental impact of its production processes.
(D) A company that comes to depend on such innovations to increase its profits and growth may be vulnerable in the global market to competition from old-style eco-inefficient industries.
(E) A company that meets its ecoefficiency goals is unlikely to invest its increased profits in the development of new and innovative ecoefficiency measures.",B,"Inference

The answer to this question will be an inference about what may result from a company’s increased ecoefficiency. The passage suggests several outcomes from such an increase: a general worsening of the environment; a tendency for companies to manufacture more of particular products, which will then be thrown away by consumers; the possibility that increased profits will result in greater investment in industries that are not ecoefficient; and even the possibility that ecoefficiency might allow so much growth that more total waste will be produced and more overall wildlife habitat destroyed.

A The passage suggests generally that ecoefficiency will increase companies’ profits, but there is no suggestion that these companies will therefore then abandon ecoefficiency as a goal.
B Correct. Lines 6–12 strongly suggest that it is possible that the increased growth that may come from ecoefficiency may result in more products being manufactured, which may result in more waste as those products are discarded by consumers.
C The passage does not suggest that ecoefficiency may fail to increase a company’s profits.
D The passage suggests that ecoefficiency has allowed many companies to increase profits, but it does not suggest that eco-inefficient companies are more profitable or competitive in the global marketplace.
E As with answer choice (A), there is no suggestion that companies are likely to abandon ecoefficient strategies once they have realized increased profits from such strategies.

The correct answer is B.","Ecoefficiency (measures to minimize environmental
 impact through the reduction or elimination of waste
 from production processes) has become a goal for
 companies worldwide, with many realizing significant
 cost savings from such innovations. Peter Senge and
 Goran Carstedt see this development as laudable but
 suggest that simply adopting ecoefficiency
 innovations could actually worsen environmental
 stresses in the future. Such innovations reduce
 production waste but do not alter the number of
 products manufactured nor the waste generated
 from their use and discard; indeed, most companies
 invest in ecoefficiency improvements in order to
 increase profits and growth. Moreover, there is no
 guarantee that increased economic growth from
 ecoefficiency will come in similarly ecoefficient ways,
 since in today’s global markets, greater profits may
 be turned into investment capital that could easily be
 reinvested in old-style eco-inefficient industries. Even
 a vastly more ecoefficient industrial system could,
 were it to grow much larger, generate more total
 waste and destroy more habitat and species than
 would a smaller, less ecoefficient economy. Senge
 and Carstedt argue that to preserve the global
 environment and sustain economic growth,
 businesses must develop a new systemic approach
 that reduces total material use and total accumulated
 waste. Focusing exclusively on ecoefficiency, which
 offers a compelling business case according to
 established thinking, may distract companies from
 pursuing radically different products and business
 models."
RCQ8,RCP3,"The primary purpose of the passage is to
(A) challenge recent findings that appear to contradict earlier findings
(B) present two sides of an ongoing scientific debate
(C) report answers to several questions that have long puzzled researchers
(D) discuss evidence that has caused a long-standing belief to be revised
(E) attempt to explain a commonly misunderstood biological phenomenon",D,"Main idea

This question depends on understanding the passage as a whole. The passage begins by describing a long-held belief regarding humans’ circadian rhythms: that the SCN control them. It then goes on to explain that new findings have led scientists to believe that other organs and tissues may be involved in regulating the body’s circadian rhythms as well.

A The passage does not challenge the more-recent findings. Furthermore, the recent findings that the passage recounts do not contradict earlier findings; rather, when placed alongside those earlier findings, they have led scientists to reach additional conclusions.
B The passage does not discuss a two-sided debate; no findings or conclusions are disputed by any figures in the passages.
C There is only one question at issue in the passage: whether the SCN alone control human circadian rhythms. Furthermore, nothing in the passage suggests that researchers have been puzzled for a long time about this.
D Correct. The new evidence regarding circadian rhythm–related gene activity in all the body’s tissue has led scientists to revise their long-standing belief that the SCN alone control circadian rhythms.
E The biological phenomenon of circadian rhythms is not, at least as far as the passage is concerned, misunderstood. Its causes are being investigated and refined.

The correct answer is D.","Scientists long believed that two nerve clusters in
 the human hypothalamus, called suprachiasmatic
 nuclei (SCNs), were what controlled our circadian
 rhythms. Those rhythms are the biological cycles
 that recur approximately every 24 hours in
 synchronization with the cycle of sunlight and
 darkness caused by Earth’s rotation. Studies have
 demonstrated that in some animals, the SCNs
 control daily fluctuations in blood pressure, body
 temperature, activity level, and alertness, as well as
 the nighttime release of the sleep-promoting agent
 melatonin. Furthermore, cells in the human retina
 dedicated to transmitting information about light
 levels to the SCNs have recently been discovered.
 Four critical genes governing circadian cycles
 have been found to be active in every tissue,
 however, not just the SCNs, of flies, mice, and
 humans. In addition, when laboratory rats that
 usually ate at will were fed only once a day, peak
 activity of a clock gene in their livers shifted by
 12 hours, whereas the same clock gene in the SCNs
 remained synchronized with light cycles. While
 scientists do not dispute the role of the SCNs in
 controlling core functions such as the regulation of
 body temperature and blood pressure, scientists
 now believe that circadian clocks in other organs
 and tissues may respond to external cues other than
 light—including temperature changes—that recur
 regularly every 24 hours."
RCQ9,RCP3,"The passage mentions each of the following as a function regulated by the SCNs in some animals EXCEPT
(A) activity level
(B) blood pressure
(C) alertness
(D) vision
(E) temperature",D,"Supporting idea

This question asks about what is NOT specifically mentioned in the passage with regard to functions regulated by the SCN. Those functions, as identified in the passage, are blood pressure, body temperature, activity level, alertness, and the release of melatonin.

A The passage includes activity level in its list of functions regulated by the SCN.
B The passage includes blood pressure in its list of functions regulated by the SCN.
C The passage includes alertness in its list of functions regulated by the SCN.
D Correct. While the passage does say that cells in the human retina transmit information to the SCN, there is no suggestion that the SCN reciprocally control vision.
E The passage includes temperature in its list of functions regulated by the SCN.

The correct answer is D.","Scientists long believed that two nerve clusters in
 the human hypothalamus, called suprachiasmatic
 nuclei (SCNs), were what controlled our circadian
 rhythms. Those rhythms are the biological cycles
 that recur approximately every 24 hours in
 synchronization with the cycle of sunlight and
 darkness caused by Earth’s rotation. Studies have
 demonstrated that in some animals, the SCNs
 control daily fluctuations in blood pressure, body
 temperature, activity level, and alertness, as well as
 the nighttime release of the sleep-promoting agent
 melatonin. Furthermore, cells in the human retina
 dedicated to transmitting information about light
 levels to the SCNs have recently been discovered.
 Four critical genes governing circadian cycles
 have been found to be active in every tissue,
 however, not just the SCNs, of flies, mice, and
 humans. In addition, when laboratory rats that
 usually ate at will were fed only once a day, peak
 activity of a clock gene in their livers shifted by
 12 hours, whereas the same clock gene in the SCNs
 remained synchronized with light cycles. While
 scientists do not dispute the role of the SCNs in
 controlling core functions such as the regulation of
 body temperature and blood pressure, scientists
 now believe that circadian clocks in other organs
 and tissues may respond to external cues other than
 light—including temperature changes—that recur
 regularly every 24 hours."
RCQ10,RCP3,"The author of the passage would probably agree with which of the following statements about the SCNs?
(A) The SCNs are found in other organs and tissues of the body besides the hypothalamus.
(B) The SCNs play a critical but not exclusive role in regulating circadian rhythms.
(C) The SCNs control clock genes in a number of tissues and organs throughout the body.
(D) The SCNs are a less significant factor in regulating blood pressure than scientists once believed.
(E) The SCNs are less strongly affected by changes in light levels than they are by other external cues.",B,"Main idea

The author of the passage discusses the SCN in the passage in order to explain that they are most likely not, as long believed, solely responsible for the control of our circadian rhythms.

A The author states that the SCN are nerve clusters in the hypothalamus, and nothing in the passage contradicts or undermines the supposition that they are only in the hypothalamus.
B Correct. The author points out in the second paragraph that the SCN control core circadian function, but that circadian clocks found elsewhere in the body have an effect as well.
C The evidence offered in the second paragraph about the activity of the clock gene in rat livers suggests that these clock genes are not under the SCN’s control. The passage does not suggest that the SCN control any of the non-SCN controllers of circadian rhythms.
D The author states in the second paragraph that scientists do not dispute the idea that the SCN regulate blood pressure.
E The first paragraph indicates that the SCN respond to light levels; clock genes in other tissues are the ones that may respond to other external cues.

The correct answer is B.","Scientists long believed that two nerve clusters in
 the human hypothalamus, called suprachiasmatic
 nuclei (SCNs), were what controlled our circadian
 rhythms. Those rhythms are the biological cycles
 that recur approximately every 24 hours in
 synchronization with the cycle of sunlight and
 darkness caused by Earth’s rotation. Studies have
 demonstrated that in some animals, the SCNs
 control daily fluctuations in blood pressure, body
 temperature, activity level, and alertness, as well as
 the nighttime release of the sleep-promoting agent
 melatonin. Furthermore, cells in the human retina
 dedicated to transmitting information about light
 levels to the SCNs have recently been discovered.
 Four critical genes governing circadian cycles
 have been found to be active in every tissue,
 however, not just the SCNs, of flies, mice, and
 humans. In addition, when laboratory rats that
 usually ate at will were fed only once a day, peak
 activity of a clock gene in their livers shifted by
 12 hours, whereas the same clock gene in the SCNs
 remained synchronized with light cycles. While
 scientists do not dispute the role of the SCNs in
 controlling core functions such as the regulation of
 body temperature and blood pressure, scientists
 now believe that circadian clocks in other organs
 and tissues may respond to external cues other than
 light—including temperature changes—that recur
 regularly every 24 hours."
